Struktura;Rozmiar;Operacja;Czas_ns
Kopiec;5000;insert;90
Kopiec;5000;extractMax;390
Kopiec;5000;peek;50
Kopiec;5000;decrease_key;5240
Kopiec;5000;increase_key;5810
Kopiec;5000;return_size;20
Kopiec;10000;insert;70
Kopiec;10000;extractMax;390
Kopiec;10000;peek;30
Kopiec;10000;decrease_key;10120
Kopiec;10000;increase_key;16010
Kopiec;10000;return_size;30
Kopiec;20000;insert;70
Kopiec;20000;extractMax;440
Kopiec;20000;peek;40
Kopiec;20000;decrease_key;18330
Kopiec;20000;increase_key;26330
Kopiec;20000;return_size;50
Kopiec;40000;insert;70
Kopiec;40000;extractMax;430
Kopiec;40000;peek;60
Kopiec;40000;decrease_key;29020
Kopiec;40000;increase_key;60520
Kopiec;40000;return_size;60
Kopiec;60000;insert;100
Kopiec;60000;extractMax;550
Kopiec;60000;peek;50
Kopiec;60000;decrease_key;47680
Kopiec;60000;increase_key;55160
Kopiec;60000;return_size;60
Kopiec;80000;insert;90
Kopiec;80000;extractMax;620
Kopiec;80000;peek;30
Kopiec;80000;decrease_key;65900
Kopiec;80000;increase_key;106830
Kopiec;80000;return_size;10
Kopiec;100000;insert;70
Kopiec;100000;extractMax;640
Kopiec;100000;peek;10
Kopiec;100000;decrease_key;82730
Kopiec;100000;increase_key;101360
Kopiec;100000;return_size;40
Kopiec;120000;insert;60
Kopiec;120000;extractMax;690
Kopiec;120000;peek;40
Kopiec;120000;decrease_key;128820
Kopiec;120000;increase_key;155430
Kopiec;120000;return_size;10
Tablica_Nieposortowana;5000;insert;80
Tablica_Nieposortowana;5000;extractMax;29240
Tablica_Nieposortowana;5000;peek;27140
Tablica_Nieposortowana;5000;decrease_key;10720
Tablica_Nieposortowana;5000;increase_key;10670
Tablica_Nieposortowana;5000;return_size;50
Tablica_Nieposortowana;10000;insert;40
Tablica_Nieposortowana;10000;extractMax;73180
Tablica_Nieposortowana;10000;peek;53070
Tablica_Nieposortowana;10000;decrease_key;24440
Tablica_Nieposortowana;10000;increase_key;19050
Tablica_Nieposortowana;10000;return_size;20
Tablica_Nieposortowana;20000;insert;40
Tablica_Nieposortowana;20000;extractMax;122250
Tablica_Nieposortowana;20000;peek;81640
Tablica_Nieposortowana;20000;decrease_key;26820
Tablica_Nieposortowana;20000;increase_key;26860
Tablica_Nieposortowana;20000;return_size;30
Tablica_Nieposortowana;40000;insert;50
Tablica_Nieposortowana;40000;extractMax;180270
Tablica_Nieposortowana;40000;peek;142630
Tablica_Nieposortowana;40000;decrease_key;50490
Tablica_Nieposortowana;40000;increase_key;53130
Tablica_Nieposortowana;40000;return_size;50
Tablica_Nieposortowana;60000;insert;20
Tablica_Nieposortowana;60000;extractMax;273610
Tablica_Nieposortowana;60000;peek;213080
Tablica_Nieposortowana;60000;decrease_key;78950
Tablica_Nieposortowana;60000;increase_key;86690
Tablica_Nieposortowana;60000;return_size;40
Tablica_Nieposortowana;80000;insert;70
Tablica_Nieposortowana;80000;extractMax;408770
Tablica_Nieposortowana;80000;peek;326820
Tablica_Nieposortowana;80000;decrease_key;115920
Tablica_Nieposortowana;80000;increase_key;133990
Tablica_Nieposortowana;80000;return_size;60
Tablica_Nieposortowana;100000;insert;50
Tablica_Nieposortowana;100000;extractMax;456020
Tablica_Nieposortowana;100000;peek;352890
Tablica_Nieposortowana;100000;decrease_key;115940
Tablica_Nieposortowana;100000;increase_key;131320
Tablica_Nieposortowana;100000;return_size;50
Tablica_Nieposortowana;120000;insert;40
Tablica_Nieposortowana;120000;extractMax;734750
Tablica_Nieposortowana;120000;peek;494540
Tablica_Nieposortowana;120000;decrease_key;206820
Tablica_Nieposortowana;120000;increase_key;207920
Tablica_Nieposortowana;120000;return_size;90
