Struktura;Rozmiar;Operacja;Czas_ns
Tablica;5000;addFront;5940
Tablica;5000;addEnd;60
Tablica;5000;addAt;3620
Tablica;5000;removeFront;7520
Tablica;5000;removeEnd;50
Tablica;5000;removeAt;3640
Tablica;5000;find;40
Tablica;10000;addFront;13050
Tablica;10000;addEnd;20
Tablica;10000;addAt;9750
Tablica;10000;removeFront;14470
Tablica;10000;removeEnd;60
Tablica;10000;removeAt;9180
Tablica;10000;find;50
Tablica;20000;addFront;29480
Tablica;20000;addEnd;40
Tablica;20000;addAt;20080
Tablica;20000;removeFront;40110
Tablica;20000;removeEnd;40
Tablica;20000;removeAt;17010
Tablica;20000;find;40
Tablica;40000;addFront;50590
Tablica;40000;addEnd;50
Tablica;40000;addAt;34330
Tablica;40000;removeFront;63000
Tablica;40000;removeEnd;20
Tablica;40000;removeAt;34090
Tablica;40000;find;10
Tablica;60000;addFront;77100
Tablica;60000;addEnd;10
Tablica;60000;addAt;60230
Tablica;60000;removeFront;86870
Tablica;60000;removeEnd;20
Tablica;60000;removeAt;57950
Tablica;60000;find;50
Tablica;80000;addFront;93290
Tablica;80000;addEnd;30
Tablica;80000;addAt;92470
Tablica;80000;removeFront;118940
Tablica;80000;removeEnd;50
Tablica;80000;removeAt;92240
Tablica;80000;find;60
Tablica;100000;addFront;120480
Tablica;100000;addEnd;20
Tablica;100000;addAt;127460
Tablica;100000;removeFront;154010
Tablica;100000;removeEnd;40
Tablica;100000;removeAt;134830
Tablica;100000;find;30
Tablica;120000;addFront;162300
Tablica;120000;addEnd;50
Tablica;120000;addAt;151380
Tablica;120000;removeFront;190780
Tablica;120000;removeEnd;60
Tablica;120000;removeAt;179770
Tablica;120000;find;60
Lista_Jednokierunkowa;5000;addFront;60
Lista_Jednokierunkowa;5000;addEnd;60
Lista_Jednokierunkowa;5000;addAt;4170
Lista_Jednokierunkowa;5000;removeFront;100
Lista_Jednokierunkowa;5000;removeEnd;7310
Lista_Jednokierunkowa;5000;removeAt;7100
Lista_Jednokierunkowa;5000;find;10
Lista_Jednokierunkowa;10000;addFront;50
Lista_Jednokierunkowa;10000;addEnd;50
Lista_Jednokierunkowa;10000;addAt;7690
Lista_Jednokierunkowa;10000;removeFront;120
Lista_Jednokierunkowa;10000;removeEnd;17510
Lista_Jednokierunkowa;10000;removeAt;7200
Lista_Jednokierunkowa;10000;find;40
Lista_Jednokierunkowa;20000;addFront;60
Lista_Jednokierunkowa;20000;addEnd;80
Lista_Jednokierunkowa;20000;addAt;20100
Lista_Jednokierunkowa;20000;removeFront;160
Lista_Jednokierunkowa;20000;removeEnd;36440
Lista_Jednokierunkowa;20000;removeAt;22110
Lista_Jednokierunkowa;20000;find;10
Lista_Jednokierunkowa;40000;addFront;70
Lista_Jednokierunkowa;40000;addEnd;50
Lista_Jednokierunkowa;40000;addAt;35620
Lista_Jednokierunkowa;40000;removeFront;130
Lista_Jednokierunkowa;40000;removeEnd;75270
Lista_Jednokierunkowa;40000;removeAt;34940
Lista_Jednokierunkowa;40000;find;30
Lista_Jednokierunkowa;60000;addFront;70
Lista_Jednokierunkowa;60000;addEnd;60
Lista_Jednokierunkowa;60000;addAt;45800
Lista_Jednokierunkowa;60000;removeFront;200
Lista_Jednokierunkowa;60000;removeEnd;122570
Lista_Jednokierunkowa;60000;removeAt;41860
Lista_Jednokierunkowa;60000;find;30
Lista_Jednokierunkowa;80000;addFront;100
Lista_Jednokierunkowa;80000;addEnd;70
Lista_Jednokierunkowa;80000;addAt;34920
Lista_Jednokierunkowa;80000;removeFront;190
Lista_Jednokierunkowa;80000;removeEnd;167010
Lista_Jednokierunkowa;80000;removeAt;30290
Lista_Jednokierunkowa;80000;find;30
Lista_Jednokierunkowa;100000;addFront;90
Lista_Jednokierunkowa;100000;addEnd;40
Lista_Jednokierunkowa;100000;addAt;48240
Lista_Jednokierunkowa;100000;removeFront;210
Lista_Jednokierunkowa;100000;removeEnd;233210
Lista_Jednokierunkowa;100000;removeAt;28680
Lista_Jednokierunkowa;100000;find;50
Lista_Jednokierunkowa;120000;addFront;80
Lista_Jednokierunkowa;120000;addEnd;60
Lista_Jednokierunkowa;120000;addAt;40290
Lista_Jednokierunkowa;120000;removeFront;240
Lista_Jednokierunkowa;120000;removeEnd;259620
Lista_Jednokierunkowa;120000;removeAt;39120
Lista_Jednokierunkowa;120000;find;50
Lista_Dwukierunkowa;5000;addFront;70
Lista_Dwukierunkowa;5000;addEnd;30
Lista_Dwukierunkowa;5000;addAt;5080
Lista_Dwukierunkowa;5000;removeFront;100
Lista_Dwukierunkowa;5000;removeEnd;60
Lista_Dwukierunkowa;5000;removeAt;3670
Lista_Dwukierunkowa;5000;find;50
Lista_Dwukierunkowa;10000;addFront;50
Lista_Dwukierunkowa;10000;addEnd;70
Lista_Dwukierunkowa;10000;addAt;11400
Lista_Dwukierunkowa;10000;removeFront;60
Lista_Dwukierunkowa;10000;removeEnd;50
Lista_Dwukierunkowa;10000;removeAt;7860
Lista_Dwukierunkowa;10000;find;10
Lista_Dwukierunkowa;20000;addFront;70
Lista_Dwukierunkowa;20000;addEnd;50
Lista_Dwukierunkowa;20000;addAt;27020
Lista_Dwukierunkowa;20000;removeFront;100
Lista_Dwukierunkowa;20000;removeEnd;60
Lista_Dwukierunkowa;20000;removeAt;15940
Lista_Dwukierunkowa;20000;find;10
Lista_Dwukierunkowa;40000;addFront;60
Lista_Dwukierunkowa;40000;addEnd;50
Lista_Dwukierunkowa;40000;addAt;88040
Lista_Dwukierunkowa;40000;removeFront;130
Lista_Dwukierunkowa;40000;removeEnd;60
Lista_Dwukierunkowa;40000;removeAt;36460
Lista_Dwukierunkowa;40000;find;50
Lista_Dwukierunkowa;60000;addFront;90
Lista_Dwukierunkowa;60000;addEnd;30
Lista_Dwukierunkowa;60000;addAt;103250
Lista_Dwukierunkowa;60000;removeFront;200
Lista_Dwukierunkowa;60000;removeEnd;30
Lista_Dwukierunkowa;60000;removeAt;41170
Lista_Dwukierunkowa;60000;find;40
Lista_Dwukierunkowa;80000;addFront;80
Lista_Dwukierunkowa;80000;addEnd;30
Lista_Dwukierunkowa;80000;addAt;70850
Lista_Dwukierunkowa;80000;removeFront;200
Lista_Dwukierunkowa;80000;removeEnd;50
Lista_Dwukierunkowa;80000;removeAt;28980
Lista_Dwukierunkowa;80000;find;40
Lista_Dwukierunkowa;100000;addFront;70
Lista_Dwukierunkowa;100000;addEnd;50
Lista_Dwukierunkowa;100000;addAt;101360
Lista_Dwukierunkowa;100000;removeFront;200
Lista_Dwukierunkowa;100000;removeEnd;80
Lista_Dwukierunkowa;100000;removeAt;28090
Lista_Dwukierunkowa;100000;find;30
Lista_Dwukierunkowa;120000;addFront;90
Lista_Dwukierunkowa;120000;addEnd;90
Lista_Dwukierunkowa;120000;addAt;125360
Lista_Dwukierunkowa;120000;removeFront;140
Lista_Dwukierunkowa;120000;removeEnd;70
Lista_Dwukierunkowa;120000;removeAt;33660
Lista_Dwukierunkowa;120000;find;40
